"2017	1",,,20.6909,8.75099,0.172318,2,0,,20.6909,8.75099,0.172318,2,0
Temperature: ,,,27.9963,11.2964,2.06898,0,1,,27.9963,11.2964,2.06898,0,1
20.6909,,,43.3807,13.7946,2.06199,2,0,,43.3807,13.7946,2.06199,2,0
Precip: ,,,51.8627,10.7995,0.75202,6,0,,51.8627,10.7995,0.75202,6,0
8.75099,,,59.0124,9.5843,0,10,0,,59.0124,9.5843,0,10,0
Grain Height: ,,,64.8753,8.69431,0,4,1,,64.8753,8.69431,0,4,1
0.172318,,,64.4943,6.30421,0,1,1,,64.4943,6.30421,0,1,1
Deer Count: ,,,57.167,3.0465,0,0,0,,57.167,3.0465,0,0,0
2,,,64.4269,1.9976,0.00270144,0,0,,64.4269,1.9976,0.00270144,0,0
Red Wedding: ,,,54.3944,1.91998,1.0543,0,1,,54.3944,1.91998,1.0543,0,1
0,,,44.1064,3.20942,1.32903,2,0,,44.1064,3.20942,1.32903,2,0
"2017	2",,,40.1466,2.68437,10.025,0,1,,40.1466,2.68437,10.025,0,1
Temperature: ,,,38.5596,7.58945,34.8369,0,1,,38.5596,7.58945,34.8369,0,1
27.9963,,,28.5713,11.8561,9.23259,2,0,,28.5713,11.8561,9.23259,2,0
Precip: ,,,47.4073,12.2706,3.15551,6,0,,47.4073,12.2706,3.15551,6,0
11.2964,,,64.8429,12.2811,0.0428419,10,0,,64.8429,12.2811,0.0428419,10,0
Grain Height: ,,,69.1057,11.2345,0,18,0,,69.1057,11.2345,0,18,0
2.06898,,,77.3157,8.60723,0,34,0,,77.3157,8.60723,0,34,0
Deer Count: ,,,68.912,5.16143,0,66,0,,68.912,5.16143,0,66,0
0,,,73.0791,1.29387,0,32,1,,73.0791,1.29387,0,32,1
Red Wedding: ,,,64.7518,0.12588,0,62,0,,64.7518,0.12588,0,62,0
1,,,36.3236,0,0,122,0,,36.3236,0,0,122,0
"2017	3",,,34.3946,3.64137,0,242,0,,34.3946,3.64137,0,242,0
Temperature: ,,,30.7013,4.06241,0,120,1,,30.7013,4.06241,0,120,1
43.3807,,,20.8887,8.25786,0,238,0,,20.8887,8.25786,0,238,0
Precip: ,,,38.6596,10.5444,0,118,1,,38.6596,10.5444,0,118,1
13.7946,,,46.888,11.6388,0,58,1,,46.888,11.6388,0,58,1
Grain Height: ,,,50.8536,12.2277,0,114,0,,50.8536,12.2277,0,114,0
2.06199,,,62.981,11.7264,0,56,1,,62.981,11.7264,0,56,1
Deer Count: ,,,76.5501,7.50207,0,110,0,,76.5501,7.50207,0,110,0
2,,,65.5435,5.62533,0,54,1,,65.5435,5.62533,0,54,1
Red Wedding: ,,,62.3092,2.53166,0,106,0,,62.3092,2.53166,0,106,0
0,,,59.4827,0,0,52,1,,59.4827,0,0,52,1
"2017	4",,,44.9644,1.75782,0,25,1,,44.9644,1.75782,0,25,1
Temperature: ,,,30.6124,1.9236,0,12,1,,30.6124,1.9236,0,12,1
51.8627,,,36.3449,5.46276,0,5,1,,36.3449,5.46276,0,5,1
Precip: ,,,35.7679,5.97683,6.3773,2,1,,35.7679,5.97683,6.3773,2,1
10.7995,,,38.718,11.1859,3.28425,6,0,,38.718,11.1859,3.28425,6,0
Grain Height: ,,,42.6398,11.9042,14.9601,2,1,,42.6398,11.9042,14.9601,2,1
0.75202,,,60.6289,10.2746,28.1469,1,1,,60.6289,10.2746,28.1469,1,1
Deer Count: ,,,55.6214,10.5179,7.08553,4,0,,55.6214,10.5179,7.08553,4,0
6,,,69.9908,7.07786,1.27161,10,0,,69.9908,7.07786,1.27161,10,0
Red Wedding: ,,,64.4403,5.48605,0,4,1,,64.4403,5.48605,0,4,1
0,,,68.2053,3.43595,0,6,0,,68.2053,3.43595,0,6,0
"2017	5",,,62.2651,0,0,2,1,,62.2651,0,0,2,1
Temperature: ,,,37.4787,0,0.440442,2,0,,37.4787,0,0.440442,2,0
59.0124,,,39.1657,1.57478,6.69384,0,1,,39.1657,1.57478,6.69384,0,1
Precip: ,,,34.9712,5.88216,2.98433,2,0,,34.9712,5.88216,2.98433,2,0
9.5843,,,30.3999,6.69875,9.67732,1,1,,30.3999,6.69875,9.67732,1,1
Grain Height: ,,,39.1431,11.5402,33.8652,1,1,,39.1431,11.5402,33.8652,1,1
0,,,52.6539,12.3783,69.7794,1,1,,52.6539,12.3783,69.7794,1,1
Deer Count: ,,,54.1691,12.6626,140.561,1,1,,54.1691,12.6626,140.561,1,1
10,,,55.8364,12.0581,35.1713,4,0,,55.8364,12.0581,35.1713,4,0
Red Wedding: ,,,75.378,6.53249,66.3426,2,1,,75.378,6.53249,66.3426,2,1
0,,,68.4913,6.04607,130.689,1,1,,68.4913,6.04607,130.689,1,1
"2017	6",,,56.0523,0.0237067,260.828,1,1,,56.0523,0.0237067,260.828,1,1
Temperature: ,,,54.6223,0,521.35,1,1,,54.6223,0,521.35,1,1
64.8753,,,53.6813,0,1042.61,1,1,,53.6813,0,1042.61,1,1
Precip: ,,,29.2743,2.20778,260.872,4,0,,29.2743,2.20778,260.872,4,0
8.69431,,,25.8981,5.27962,519.496,2,1,,25.8981,5.27962,519.496,2,1
Grain Height: ,,,23.2836,8.02284,129.742,6,0,,23.2836,8.02284,129.742,6,0
0,,,27.1989,9.60012,32.0732,14,0,,27.1989,9.60012,32.0732,14,0
Deer Count: ,,,52.0055,11.4419,53.8544,7,1,,52.0055,11.4419,53.8544,7,1
4,,,49.2497,11.0847,13.4287,16,0,,49.2497,11.0847,13.4287,16,0
Red Wedding: ,,,66.4487,8.85459,1.35899,30,0,,66.4487,8.85459,1.35899,30,0
1,,,73.3539,8.4657,0,14,1,,73.3539,8.4657,0,14,1
"2017	7",,,66.3505,3.00906,0,6,1,,66.3505,3.00906,0,6,1
Temperature: ,,,72.0879,3.14204,0,10,0,,72.0879,3.14204,0,10,0
64.4943,,,64.2627,0.627976,0,4,1,,64.2627,0.627976,0,4,1
Precip: ,,,44.2429,0,0.916368,1,1,,44.2429,0,0.916368,1,1
6.30421,,,28.9856,3.55398,0.496471,0,0,,28.9856,3.55398,0.496471,0,0
Grain Height: ,,,29.5552,2.69073,0.517864,2,0,,29.5552,2.69073,0.517864,2,0
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
1,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
1,,,,,,,,,,,,,
"2017	8",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
57.167,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
3.0465,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2017	9",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
64.4269,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
1.9976,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0.00270144,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2017	10",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
54.3944,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
1.91998,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
1.0543,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
1,,,,,,,,,,,,,
"2017	11",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
44.1064,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
3.20942,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
1.32903,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
2,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2017	12",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
40.1466,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
2.68437,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
10.025,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
1,,,,,,,,,,,,,
"2018	1",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
38.5596,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
7.58945,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
34.8369,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
1,,,,,,,,,,,,,
"2018	2",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
28.5713,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
11.8561,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
9.23259,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
2,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2018	3",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
47.4073,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
12.2706,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
3.15551,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
6,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2018	4",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
64.8429,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
12.2811,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0.0428419,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
10,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2018	5",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
69.1057,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
11.2345,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
18,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2018	6",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
77.3157,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
8.60723,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
34,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2018	7",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
68.912,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
5.16143,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
66,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2018	8",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
73.0791,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
1.29387,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
32,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
1,,,,,,,,,,,,,
"2018	9",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
64.7518,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
0.12588,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
62,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2018	10",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
36.3236,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
122,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2018	11",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
34.3946,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
3.64137,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
242,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2018	12",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
30.7013,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
4.06241,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
120,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
1,,,,,,,,,,,,,
"2019	1",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
20.8887,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
8.25786,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
238,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2019	2",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
38.6596,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
10.5444,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
118,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
1,,,,,,,,,,,,,
"2019	3",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
46.888,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
11.6388,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
58,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
1,,,,,,,,,,,,,
"2019	4",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
50.8536,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
12.2277,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
114,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
"2019	5",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
62.981,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
11.7264,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
56,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
1,,,,,,,,,,,,,
"2019	6",,,,,,,,,,,,,
Temperature: ,,,,,,,,,,,,,
76.5501,,,,,,,,,,,,,
Precip: ,,,,,,,,,,,,,
7.50207,,,,,,,,,,,,,
Grain Height: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
Deer Count: ,,,,,,,,,,,,,
110,,,,,,,,,,,,,
Red Wedding: ,,,,,,,,,,,,,
0,,,,,,,,,,,,,
